category,mode,tokens,prompt_tokens,tokens_per_step_cap,accepted_tokens_per_step,verified_nodes_per_step,total_s,ttft_s,tps,speedup_vs_base,prefix_match_vs_base,peak_alloc_mb,peak_reserved_mb,model_context_window,context_utilization,fp16_kv_mb_est,ideal_turbo_vq_kv_mb_est,ideal_turbo_vq_transfer_reduction,turbo_vq_kv_mb_est,turbo_vq_compressed_kv_mb_est,turbo_vq_transfer_reduction,turbo_vq_key_algorithmic_bits,turbo_vq_value_bits,turbo_vq_actual_bits_per_channel_est,turbo_vq_key_qidx_bytes_per_token_head,turbo_vq_value_qidx_bytes_per_token_head,polar_kv_mb_est,polar_transfer_reduction,polar_algorithmic_bits_per_channel,polar_angle_bytes_per_token_head,polar_radius_bytes_per_token_head,stat_adaptive_tree_balanced_choice_count,stat_adaptive_tree_balanced_steps,stat_adaptive_tree_primary_choice_count,stat_adaptive_tree_steps,stat_candidate_paths_considered,stat_decode_steps,stat_draft_head_type,stat_fallback_full_tree_steps,stat_full_tree_steps,stat_fused_lm_head_argmax_steps,stat_generated_tokens,stat_kv_cache_max_length,stat_kv_cache_required_len,stat_kv_cache_use_model_context,stat_medusa_choice_count,stat_medusa_choice_max_depth,stat_model_context_window,stat_packed_kv_qjl_auto_disable_events,stat_packed_kv_qjl_enabled,stat_packed_kv_qjl_fallback_steps,stat_packed_kv_qjl_gated_steps,stat_packed_kv_qjl_min_len,stat_packed_kv_qjl_steps,stat_planner_bypass_steps,stat_planner_full_tree_decisions,stat_planner_steps,stat_pruned_tree_steps,stat_selected_candidate_paths,stat_skip_gating_steps,stat_tree_policy,stat_turbo_auto_steps,stat_verified_tree_nodes,text
long_context_4000t,medusa_base,13,3952,1.625,1.625,64.0,0.7946511560003273,0.7946282150005572,16.35937971251708,1.0,1.0,3297.15087890625,3366.0,131072,0.03025054931640625,123.90625,72.601318359375,1.7066666666666668,72.601318359375,72.601318359375,1.7066666666666668,9.0,8,9.375,64,64,30.008544921875,4.129032258064516,3.875,23,8,0,0,63,0,336,8,medusa,0,8,8,13,4096,4000,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,336,0,fixed,0,512,"Here is a compact Python module that implements a benchmark timer, validates"
long_context_4000t,turboquant_prod_b4_full_tree,13,3952,1.625,1.625,64.0,1.3086730809991423,1.308650414001022,9.933726145016136,0.6072189972713653,1.0,3202.72900390625,3354.0,131072,0.03025054931640625,123.90625,33.880615234375,3.657142857142857,33.880615234375,33.880615234375,3.657142857142857,4.0,4,4.375,24,32,30.008544921875,4.129032258064516,3.875,23,8,0,0,63,0,336,8,medusa,0,8,8,13,4096,4000,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,336,0,fixed,0,512,"Here is a compact Python module that implements a benchmark timer, validates"
long_context_4000t,polarquant_l4_f4o2_full_tree,13,3952,1.625,1.625,64.0,1.339146365000488,1.3391195270014578,9.707676725833672,0.5934012717124,1.0,3200.27587890625,3302.0,131072,0.03025054931640625,123.90625,72.601318359375,1.7066666666666668,72.601318359375,72.601318359375,1.7066666666666668,9.0,8,9.375,64,64,30.008544921875,4.129032258064516,3.875,23,8,0,0,63,0,336,8,medusa,0,8,8,13,4096,4000,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,336,0,fixed,0,512,"Here is a compact Python module that implements a benchmark timer, validates"
long_context_4000t,qjl_prune_nb40,13,3952,1.625,1.625,64.0,0.8039632090003579,0.8039389709992975,16.169894162400922,0.9884173145042183,1.0,3297.15087890625,3398.0,131072,0.03025054931640625,123.90625,72.601318359375,1.7066666666666668,72.601318359375,72.601318359375,1.7066666666666668,9.0,8,9.375,64,64,30.008544921875,4.129032258064516,3.875,23,8,0,0,63,0,336,8,medusa,0,8,8,13,4096,4000,0,63,4,131072,0,0,0,0,16384,0,4,4,4,0,336,0,fixed,0,512,"Here is a compact Python module that implements a benchmark timer, validates"
