mode,choice_limit,max_depth,prompt_category,tokens,total_s,tps,accepted_tokens_per_step,verified_nodes_per_step,prefix_match_vs_base,peak_alloc_mb
full_tree,0,4,hpc,53,1.3188339849999693,40.18701413734135,2.2083333333333335,64.0,1.0,2703.28076171875
choice_16,16,3,hpc,51,0.6904598470000565,73.86381731187886,2.125,17.0,1.0,2701.4140625
choice_24,24,3,hpc,52,0.40298666299997876,129.03652843717742,2.1666666666666665,25.0,1.0,2701.3466796875
choice_32,32,3,hpc,52,0.6526501259999122,79.67515507689797,2.1666666666666665,33.0,1.0,2701.66943359375
full_tree,0,4,systems,48,0.4427899530001014,108.4035436549054,2.0,64.0,1.0,2703.29443359375
choice_16,16,3,systems,41,0.3812691559999166,107.53558045489777,1.7083333333333333,17.0,1.0,2701.0419921875
choice_24,24,3,systems,43,0.3853878470000609,111.57591069547453,1.7916666666666667,25.0,1.0,2701.23583984375
choice_32,32,3,systems,46,0.4049275510000143,113.60056851255936,1.9166666666666667,33.0,1.0,2701.57470703125
