prompt,mode,tokens,total_s,tps,prefix_vs_medusa,peak_alloc_mb,notes
cuda_fusion_short_repeat,medusa_base_repeat,48,0.7621,62.98,1.0000,2856.3,baseline Medusa tree decode repeat
cuda_fusion_short_repeat,turbo_vq_b8_res128_strict_fused_append_repeat1,49,1.0766,45.51,0.2558,2846.9,repeat after in-mode warmup; strict compressed TurboVQ fused append+attention
cuda_fusion_short_repeat,turbo_vq_b8_res128_strict_fused_append_repeat2,49,1.0492,46.70,0.2558,2846.9,repeat after in-mode warmup; strict compressed TurboVQ fused append+attention
