category,mode,tokens,prompt_tokens,tokens_per_step_cap,accepted_tokens_per_step,verified_nodes_per_step,total_s,ttft_s,tps,speedup_vs_base,prefix_match_vs_base,peak_alloc_mb,peak_reserved_mb,model_context_window,context_utilization,fp16_kv_mb_est,ideal_turbo_vq_kv_mb_est,ideal_turbo_vq_transfer_reduction,turbo_vq_kv_mb_est,turbo_vq_compressed_kv_mb_est,turbo_vq_transfer_reduction,turbo_vq_key_algorithmic_bits,turbo_vq_value_bits,turbo_vq_actual_bits_per_channel_est,turbo_vq_key_qidx_bytes_per_token_head,turbo_vq_value_qidx_bytes_per_token_head,polar_kv_mb_est,polar_transfer_reduction,polar_algorithmic_bits_per_channel,polar_angle_bytes_per_token_head,polar_radius_bytes_per_token_head,stat_adaptive_tree_balanced_choice_count,stat_adaptive_tree_balanced_steps,stat_adaptive_tree_primary_choice_count,stat_adaptive_tree_steps,stat_candidate_paths_considered,stat_decode_steps,stat_draft_head_type,stat_fallback_full_tree_steps,stat_full_tree_steps,stat_fused_lm_head_argmax_steps,stat_generated_tokens,stat_kv_cache_max_length,stat_kv_cache_required_len,stat_kv_cache_use_model_context,stat_medusa_choice_count,stat_medusa_choice_max_depth,stat_model_context_window,stat_packed_kv_qjl_auto_disable_events,stat_packed_kv_qjl_enabled,stat_packed_kv_qjl_fallback_steps,stat_packed_kv_qjl_gated_steps,stat_packed_kv_qjl_min_len,stat_packed_kv_qjl_steps,stat_planner_bypass_steps,stat_planner_full_tree_decisions,stat_planner_steps,stat_pruned_tree_steps,stat_selected_candidate_paths,stat_skip_gating_steps,stat_tree_policy,stat_turbo_auto_steps,stat_verified_tree_nodes,text
long_context_8000t,medusa_base,16,7872,2.0,2.0,64.0,1.3954408649988181,1.3953998370016052,11.46591045261782,1.0,1.0,3671.833984375,3850.0,131072,0.0601806640625,246.5,144.43359375,1.7066666666666668,144.43359375,144.43359375,1.7066666666666668,9.0,8,9.375,64,64,59.69921875,4.129032258064516,3.875,23,8,0,0,63,0,336,8,medusa,0,8,8,16,8192,7920,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,336,0,fixed,0,512,"import time
import random
import logging

# Set up logging
logging.basicConfig"
long_context_8000t,turboquant_prod_b4_full_tree,13,7872,1.625,1.625,64.0,2.4114927159971558,2.4114655449993734,5.390851862732863,0.4701634366507773,0.55,3488.896484375,3770.0,131072,0.06015777587890625,246.40625,67.376708984375,3.657142857142857,67.376708984375,67.376708984375,3.657142857142857,4.0,4,4.375,24,32,59.676513671875,4.129032258064516,3.875,23,8,0,0,63,0,336,8,medusa,0,8,8,13,8192,7920,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,336,0,fixed,0,512,"import time
import random
import numpy as np

class Benchmark"
long_context_8000t,polarquant_l4_f4o2_full_tree,16,7872,2.0,2.0,64.0,2.175374558999465,2.1753385240008356,7.3550552174146,0.6414715384189438,0.36619718309859156,3477.958984375,3666.0,131072,0.0601806640625,246.5,144.43359375,1.7066666666666668,144.43359375,144.43359375,1.7066666666666668,9.0,8,9.375,64,64,59.69921875,4.129032258064516,3.875,23,8,0,0,63,0,336,8,medusa,0,8,8,16,8192,7920,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,336,0,fixed,0,512,"import time
import random
from typing import Dict

class BenchmarkTimer:
   "
long_context_8000t,qjl_prune_nb40,16,7872,2.0,2.0,65.875,1.4443225239992898,1.4442967219983984,11.077858119733834,0.9661559948084726,1.0,3671.833984375,3914.0,131072,0.0601806640625,246.5,144.43359375,1.7066666666666668,144.43359375,144.43359375,1.7066666666666668,9.0,8,9.375,64,64,59.69921875,4.129032258064516,3.875,23,8,0,0,63,0,336,8,medusa,1,6,9,16,8192,7920,0,63,4,131072,0,0,0,0,16384,0,0,6,8,2,341,0,fixed,0,527,"import time
import random
import logging

# Set up logging
logging.basicConfig"
