mode,tokens,total_s,ttft_s,tps,peak_alloc_mb,peak_reserved_mb,prefix_match_vs_base,speedup_vs_base,alloc_delta_mb_vs_base
medusa_base,96.0,21.709350265000012,0.43760883250001825,4.422770961314814,8875.041259765625,9289.0,1.0,1.0,0.0
turbo_prune_only,96.0,26.317293433500026,0.5576387645000977,3.64848199117908,8164.6171875,8360.0,1.0,0.8249312530745315,-710.424072265625
turbo_vq_shadow,96.0,28.084485951000033,0.5509920459999194,3.4191097132531123,9703.53125,9981.0,1.0,0.7730695853706766,828.489990234375
turbo_vq_strict,96.0,31.81972185199993,0.5564394554999126,3.0210268991645783,9235.5625,9644.0,0.45881724845995897,0.683062027310245,360.521240234375
